SUKUNIMI;YHTEENSÄ
Korhonen;22699
Virtanen;22366
Mäkinen;20411
Nieminen;20332
Mäkelä;19112
Hämäläinen;18555
Laine;18096
Heikkinen;17497
Koskinen;17319
Järvinen;16313
Lehtonen;16187
Lehtinen;15134
Saarinen;14897
Salminen;14703
Heinonen;14459
Niemi;14385
Heikkilä;14256
Kinnunen;13935
Salonen;13920
Turunen;13438
Salo;13039
Laitinen;12775
Tuominen;12541
Rantanen;12508
Karjalainen;12382
Jokinen;12230
Mattila;12019
Savolainen;11206
Lahtinen;11160
Ahonen;10889
Ojala;10755
Leppänen;10743
Hiltunen;10055
Väisänen;10048
Leinonen;10040
Miettinen;10035
Kallio;9995
Aaltonen;9947
Pitkänen;9920
Manninen;9759
Hakala;9613
Anttila;9606
Koivisto;9564
Laaksonen;9310
Räsänen;9164
Hirvonen;9136
Lehto;9023
Laakso;8983
Toivonen;8882
Mustonen;8703
Rantala;8691
Aalto;8588
Nurmi;8483
Peltonen;8454
Moilanen;8336
Niemelä;8319
Seppälä;8238
Hänninen;8232
Pulkkinen;8208
Lappalainen;8001
Partanen;7972
Kettunen;7955
Saari;7928
Kauppinen;7788
Kemppainen;7767
Seppänen;7681
Koskela;7680
Lahti;7667
Salmi;7629
Ahola;7603
Huttunen;7481
Ikonen;7363
Suominen;7354
Aho;7310
Kärkkäinen;7294
Pesonen;7243
Halonen;7178
Mikkonen;7122
Johansson;7073
Koponen;7028
Nyman;7025
Peltola;6993
Oksanen;6960
Lindholm;6906
Vainio;6897
Niskanen;6869
Heiskanen;6863
Mikkola;6744
Immonen;6636
Koski;6625
Honkanen;6621
Nurminen;6567
Vuorinen;6556
Harju;6435
Kokkonen;6432
Rissanen;6412
Määttä;6347
Karppinen;6318
Mäki;6252
Laukkanen;6126
Rajala;6082
Heino;6067
Juntunen;6052
Rautiainen;6014
Jääskeläinen;5980
Parviainen;5970
Keränen;5899
Hartikainen;5895
Kangas;5885
Paananen;5830
Leino;5786
Karlsson;5783
Mäenpää;5729
Lindström;5661
Martikainen;5655
Ruotsalainen;5647
Hakkarainen;5593
Hyvärinen;5541
Uusitalo;5524
Toivanen;5508
Kokko;5486
Laurila;5481
Tikkanen;5462
Viitanen;5461
Nevalainen;5403
Leskinen;5292
Salmela;5274
Nykänen;5270
Makkonen;5235
Häkkinen;5164
Holopainen;5139
Kuusisto;5074
Tamminen;5065
Eriksson;5054
Hietala;5025
Härkönen;5014
Andersson;5004
Korpela;4999
Ranta;4975
Hyvönen;4962
Kukkonen;4958
Karvonen;4914
Jaakkola;4898
Pasanen;4858
Jokela;4832
Tiainen;4832
Väänänen;4791
Kosonen;4782
Karhu;4778
Saarela;4700
Sillanpää;4656
Malinen;4610
Kujala;4591
Virta;4588
Rautio;4586
Timonen;4553
Lindroos;4551
Autio;4485
Valtonen;4464
Hokkanen;4462
Lindqvist;4453
Kolehmainen;4422
Kivelä;4417
Lampinen;4407
Räisänen;4404
Jussila;4388
Tolonen;4385
Rinne;4351
Nissinen;4298
Nousiainen;4277
Huhtala;4206
Eskelinen;4178
Vartiainen;4170
Koivula;4132
Laakkonen;4117
Asikainen;4108
Koistinen;4066
Lepistö;4055
Kuusela;4047
Lindberg;4035
Liimatainen;3995
Pelkonen;3974
Luoma;3967
Tolvanen;3957
Hautala;3909
Kulmala;3900
Kyllönen;3894
Tuovinen;3890
Pietilä;3869
Koivunen;3868
Penttinen;3864
Helenius;3842
Pennanen;3841
Voutilainen;3830
Viljanen;3806
Hietanen;3788
Suhonen;3788
Luukkonen;3776
Riikonen;3771
Hyttinen;3770
Huotari;3763
Marttila;3758
Pakarinen;3749
Karttunen;3706
Repo;3701
Takala;3692
Ketola;3690
Järvenpää;3680
Kumpulainen;3674
Nuutinen;3654
Haavisto;3643
Eronen;3640
Saastamoinen;3609
Ronkainen;3597
Lindgren;3596
Eskola;3583
Myllymäki;3562
Lehtimäki;3558
Huovinen;3557
Auvinen;3556
Haapala;3549
Eklund;3546
Kainulainen;3546
Penttilä;3527
Vuori;3509
Liukkonen;3486
Paavola;3461
Helin;3455
Juvonen;3439
Komulainen;3399
Keskinen;3392
Hautamäki;3377
Viitala;3369
Taskinen;3354
Ollikainen;3345
Markkanen;3341
Kivimäki;3325
Silvennoinen;3308
Suomalainen;3305
Lähteenmäki;3301
Ollila;3300
Tuomi;3300
Perälä;3274
Rintala;3269
Välimäki;3266
Kuosmanen;3255
Sipilä;3246
Gustafsson;3243
Kähkönen;3239
Halme;3205
Nylund;3168
Blomqvist;3166
Tanskanen;3166
Kortelainen;3150
Lehtola;3133
Turpeinen;3131
Hannula;3130
Matilainen;3113
Kantola;3105
Hytönen;3103
Lindfors;3086
Meriläinen;3085
Matikainen;3061
Jalonen;3029
Helminen;3002
Jansson;2999
Holm;2983
Kivistö;2966
Rytkönen;2963
Kanerva;2960
Ylitalo;2956
Varis;2943
Väyrynen;2934
Soininen;2932
Alatalo;2930
Puhakka;2903
Henriksson;2901
Pääkkönen;2900
Erkkilä;2899
Tervo;2899
Ojanen;2881
Karvinen;2875
Pajunen;2873
Kiviniemi;2872
Tarvainen;2861
Rauhala;2858
Nyberg;2855
Kurki;2850
Puustinen;2840
Laiho;2829
Taipale;2825
Kilpeläinen;2821
Mäntylä;2809
Berg;2806
Oinonen;2794
Mattsson;2768
Kuisma;2759
Piirainen;2756
Backman;2753
Kankaanpää;2752
Lassila;2752
Lehikoinen;2742
Haapanen;2721
Niiranen;2718
Peltoniemi;2717
Tikka;2717
Räty;2711
Jauhiainen;2702
Jaatinen;2698
Pirinen;2698
Kivinen;2666
Lipponen;2663
Parkkinen;2642
Haverinen;2633
Moisio;2627
Korpi;2606
Keinänen;2600
Kärki;2595
Venäläinen;2594
Pohjola;2588
Ruuskanen;2586
Kaikkonen;2583
Kauppila;2579
Vesterinen;2579
Jäntti;2577
Valkonen;2572
Ylönen;2570
Raatikainen;2558
Mononen;2550
Sainio;2512
Haataja;2510
Holmberg;2492
Anttonen;2480
Järvelä;2470
Syrjälä;2458
Holmström;2457
Tirkkonen;2453
Rossi;2451
Kovanen;2448
Nikula;2447
Ahokas;2424
Pehkonen;2413
Pekkala;2407
Palomäki;2387
Huuskonen;2385
Kuronen;2367
Vuorela;2366
Tiihonen;2365
Sallinen;2363
Karhunen;2362
Männistö;2357
Lilja;2355
Muhonen;2355
Valkama;2350
Seppä;2342
Oikarinen;2335
Elo;2328
Latvala;2328
Konttinen;2322
Alanko;2320
Alanen;2302
Ryynänen;2300
Simola;2295
Sjöblom;2295
Reinikainen;2292
Kämäräinen;2285
Rönkkö;2281
Pöllänen;2277
Sirén;2276
Linna;2271
Pekkarinen;2271
Soini;2261
Salomaa;2260
Riihimäki;2239
Lammi;2237
Eloranta;2235
Marttinen;2235
Kari;2226
Kiuru;2225
Keskitalo;2224
Sirviö;2221
Forsman;2212
Airaksinen;2202
Nevala;2192
Antikainen;2188
Sutinen;2179
Järvi;2178
Puranen;2176
Sihvonen;2173
Haapaniemi;2171
Lankinen;2170
Aro;2167
Grönroos;2164
Ylinen;2152
Uotila;2149
Simonen;2141
Holappa;2140
Ihalainen;2140
Paavilainen;2118
Tähtinen;2113
Kauppi;2111
Toivola;2101
Kauhanen;2085
Aarnio;2081
Virolainen;2078
Kiiskinen;2071
Lehti;2067
Sivonen;2061
Sormunen;2058
Sundström;2050
Luoto;2048
Joensuu;2037
Snellman;2033
Eerola;2021
Luostarinen;2021
Koivuniemi;2020
Ruohonen;2020
Friman;2018
Hassinen;2009
Kalliokoski;2004
Törmänen;2002
Westerlund;1999
Kotilainen;1994
Nordström;1978
Tuomisto;1977
Suvanto;1976
Nenonen;1968
Ruuska;1947
Sorsa;1941
Sinkkonen;1939
Laamanen;1933
Koljonen;1926
Pietikäinen;1921
Kiiski;1916
Tervonen;1916
Piiroinen;1912
Pikkarainen;1906
Nygård;1901
Björklund;1899
Rajamäki;1897
Sinisalo;1896
Tenhunen;1892
Ukkonen;1884
Paajanen;1878
Nyström;1874
Suomela;1873
Antila;1872
Lämsä;1865
Siitonen;1861
Forsström;1860
Suomi;1857
Ekman;1856
Vuorio;1855
Kuokkanen;1849
Pöyhönen;1847
Vainionpää;1837
Junttila;1834
Hyytiäinen;1832
Laitila;1830
Lind;1830
Huusko;1828
Kekkonen;1827
Saarelainen;1827
Lyytikäinen;1826
Neuvonen;1825
Kujanpää;1824
Alho;1817
Leppälä;1816
Tahvanainen;1815
Bergman;1810
Vepsäläinen;1808
Jantunen;1807
Vanhanen;1803
Mäkitalo;1800
Suutari;1797
Sandberg;1795
Lempinen;1794
Arola;1792
Hynninen;1791
Wikström;1788
Nyholm;1785
Jylhä;1784
Kontio;1781
Hakanen;1775
Tuomainen;1772
Tapio;1771
Inkinen;1764
Kääriäinen;1763
Närhi;1761
Pakkanen;1758
Helander;1756
Honkala;1751
Kosunen;1745
Pirhonen;1743
Saukkonen;1741
Minkkinen;1740
Ekholm;1739
Palonen;1736
Kaartinen;1732
Hurme;1728
Pyykkö;1720
Tauriainen;1712
Lukkarinen;1703
Rintamäki;1699
Piironen;1697
Puttonen;1696
Nurmela;1693
Söderlund;1691
Määttänen;1687
Nummela;1686
Tukiainen;1684
Itkonen;1676
Remes;1673
Romppanen;1671
Tiilikainen;1665
Nikkanen;1662
Kananen;1659
Selin;1657
Harjula;1653
Kautto;1653
Välimaa;1653
Grönlund;1647
Tossavainen;1646
Halttunen;1644
Mäkilä;1637
Kalliomäki;1634
Pekkanen;1634
Ryhänen;1631
Santala;1626
Vanhala;1626
Koivu;1623
Tammi;1617
Myllylä;1612
Pyykkönen;1611
Koivumäki;1605
Piispanen;1599
Kuitunen;1591
Setälä;1588
Ahtiainen;1583
Tuomaala;1580
Happonen;1575
Saukko;1575
Lintunen;1571
Ketonen;1567
Nyyssönen;1561
Lindeman;1559
Hovi;1551
Kataja;1550
Valtanen;1550
Tuomela;1549
Siltanen;1545
Hellsten;1540
Pietiläinen;1539
Kivioja;1537
Poutanen;1537
Siekkinen;1533
Tuhkanen;1533
Vesala;1531
Sundqvist;1528
Tyni;1524
Mäntynen;1520
Hakola;1512
Kuusinen;1509
Haapalainen;1505
Kangasniemi;1504
Toikka;1503
Rämö;1501
Syrjänen;1499
Hakulinen;1497
Hellman;1497
Päivärinta;1495
Turtiainen;1494
Piipponen;1493
Vänskä;1488
Montonen;1484
Sivula;1484
Kuivalainen;1479
Vaittinen;1478
Jäppinen;1477
Peltomäki;1477
Kuittinen;1476
Mykkänen;1475
Pellinen;1472
Parkkonen;1470
Piippo;1470
Torvinen;1469
Jalkanen;1465
Honkonen;1464
Stenberg;1463
Pettersson;1460
Salin;1460
Wallenius;1460
Kärnä;1459
Kuikka;1455
Nikkilä;1446
Utriainen;1446
Valli;1441
Kuparinen;1435
Sandström;1434
Talvitie;1434
Hynynen;1431
Grönholm;1430
Hallikainen;1426
Lindén;1426
Sippola;1425
Soikkeli;1425
Jaakola;1424
Räihä;1420
Pulli;1417
Sjöberg;1416
Mähönen;1411
Herranen;1410
Iivonen;1409
Nikkinen;1406
Orava;1404
Pursiainen;1402
Raunio;1401
Sairanen;1400
Männikkö;1393
Kakko;1390
Kankkunen;1390
Lönnqvist;1388
Kekäläinen;1387
Puumalainen;1387
Putkonen;1386
Lamberg;1383
Palosaari;1382
Rahkonen;1382
Ojanperä;1381
Tuomola;1379
Annala;1378
Pynnönen;1377
Lappi;1376
Vatanen;1376
Nordlund;1373
Pellikka;1371
Suni;1371
Reijonen;1369
Vuorenmaa;1368
Numminen;1367
Tynkkynen;1367
Peltomaa;1366
Hukkanen;1365
Kaukonen;1365
Savela;1364
Kervinen;1363
Juutilainen;1362
Olkkonen;1361
Vehviläinen;1361
Niskala;1357
Kukkola;1353
Naukkarinen;1352
Isotalo;1351
Öhman;1350
Katajamäki;1347
Saikkonen;1345
Kaunisto;1343
Salovaara;1343
Sundberg;1343
Viljakainen;1343
Vauhkonen;1342
Pohjonen;1341
Nordman;1338
Suokas;1336
Sipola;1332
Väätäinen;1331
Heimonen;1330
Leivo;1326
Manner;1326
Mutanen;1319
Kaipainen;1317
Pihlajamäki;1314
Siltala;1314
Kohonen;1313
Virkkunen;1313
Haikonen;1312
Kurvinen;1311
Malmberg;1308
Huhta;1306
Jämsä;1305
Pylkkänen;1304
Mannila;1303
Vainikka;1303
Palmu;1298
Nissilä;1295
Reponen;1295
Mäkeläinen;1294
Elomaa;1293
Oja;1292
Pihlaja;1290
Päivinen;1290
Haanpää;1289
Poutiainen;1287
Lähde;1285
Roos;1285
Ervasti;1284
Huhtanen;1284
Kilpinen;1282
Ovaskainen;1280
Lintula;1277
Vanhatalo;1276
Holma;1272
Wallin;1271
Mielonen;1270
Suuronen;1269
Vikman;1268
Kovalainen;1265
Rouhiainen;1265
Säkkinen;1265
Hurskainen;1264
Kupiainen;1264
Söderholm;1264
Perttula;1262
Viinikainen;1256
Kuoppala;1254
Blom;1251
Lindell;1250
Murto;1242
Rekola;1242
Ovaska;1241
Klemetti;1235
Fagerström;1234
Kumpula;1230
Jokelainen;1229
Vainikainen;1229
Himanen;1227
Janhunen;1226
Kiviranta;1225
Raitanen;1225
Tarkiainen;1225
Haapakoski;1224
Siivonen;1222
Tuononen;1221
Ek;1218
Kivi;1218
Veijalainen;1218
Ruokonen;1213
Ripatti;1212
Pietarinen;1211
Lundberg;1208
Julkunen;1207
Hintikka;1205
Saarenpää;1204
Haapamäki;1203
Liikanen;1199
Marjamäki;1198
Rantamäki;1198
Sarkkinen;1196
Leskelä;1192
Bergström;1188
Jalava;1187
Parikka;1187
Sundell;1186
Kirjavainen;1183
Nikander;1180
Rahikainen;1180
Saario;1180
Kekki;1175
Kemppi;1174
Nguyen;1172
Laatikainen;1171
Gröhn;1170
Reunanen;1170
Vänttinen;1169
Ratilainen;1167
Ström;1167
Tanninen;1163
Saarikoski;1162
Kesti;1161
Westerholm;1161
Kannisto;1160
Paasonen;1159
Vesa;1156
Kauranen;1155
Palo;1155
Hulkkonen;1154
Varjonen;1154
Mohamed;1152
Junnila;1150
Hongisto;1149
Peura;1149
Granlund;1148
Blomberg;1146
Pentikäinen;1144
Nisula;1143
Loikkanen;1142
Rautanen;1142
Raappana;1139
Heinänen;1136
Juhola;1136
Maijala;1135
Äijälä;1135
Lyytinen;1133
Vaara;1122
Myllynen;1120
Granholm;1118
Lampela;1117
Oksa;1117
Ilomäki;1115
Kunnari;1115
Åberg;1112
Martin;1110
Okkonen;1110
Roininen;1110
Ahlgren;1100
Takkinen;1100
Häggblom;1098
Lukkari;1098
Niinimäki;1097
Sarajärvi;1096
Ropponen;1092
Kolari;1091
Lamminen;1091
Tuppurainen;1091
Sjöholm;1090
Jutila;1089
Majuri;1087
Ristimäki;1087
Forsberg;1084
Söderström;1081
Kontkanen;1080
Vornanen;1080
Östman;1077
Rosenberg;1076
Vilén;1074
Pollari;1073
Kytölä;1072
Lundström;1072
Mäkipää;1071
Åkerlund;1070
Forss;1068
Bäckman;1067
Ijäs;1066
Markkula;1066
Tissari;1065
Tiitinen;1064
Hirvelä;1062
Metso;1062
Katainen;1060
Kemppinen;1057
Lempiäinen;1057
Heikura;1056
Aronen;1055
Knuutila;1047
Hietamäki;1046
Arvola;1045
Härmä;1040
Korkiakoski;1038
Kela;1037
Korpinen;1037
Hedman;1036
Puurunen;1035
Kaasinen;1034
Vikström;1032
Olli;1029
Yrjölä;1029
Kapanen;1028
Juutinen;1027
Kallinen;1027
Saloranta;1027
Pärssinen;1024
Österberg;1024
Uutela;1022
Rusanen;1020
Tölli;1019
Weckström;1019
Rajaniemi;1017
Sorvari;1017
Malm;1013
Surakka;1013
Uimonen;1012
Björkman;1011
Palm;1011
Ali;1008
Tuukkanen;1008
Nilsson;1007
Järveläinen;1006
Luukkanen;1006
Hujanen;1005
Suorsa;1004
Ekström;1001
Pulliainen;1001
Roivainen;999
Haarala;998
Porkka;998
Similä;998
Toikkanen;998
Teittinen;995
Höglund;992
Strömberg;991
Björk;990
Katajisto;990
Sirkiä;989
Lång;988
Ilvonen;985
Syrjä;985
Salomäki;984
Loponen;983
Nummi;982
Rannikko;982
Siira;980
Könönen;977
Myllykoski;975
Kajander;974
Virkki;974
Peltokangas;972
Ikävalko;970
Purhonen;970
Österlund;970
Törmä;966
Kuvaja;964
Nokelainen;964
Kasurinen;963
Rahkola;963
Hildén;962
Nummelin;961
Rönkä;961
Suonpää;961
Laitala;959
Pusa;957
Kaasalainen;955
Kallioniemi;951
Lindblom;951
Palviainen;951
Viljamaa;951
Henttonen;950
Kurkela;950
Stenman;948
Nordberg;945
Ylikoski;945
Niva;944
Enqvist;941
Mönkkönen;941
Häyrinen;940
Metsälä;939
Naumanen;939
Toropainen;938
Backlund;937
Dahl;937
Hietikko;937
Juuti;937
Kulju;936
Pöntinen;936
Koskelainen;935
Kopra;933
Siren;933
Haakana;932
Käyhkö;932
Liimatta;932
Asplund;931
Karppanen;931
Siponen;931
Isomäki;929
Romppainen;929
Terho;929
Malin;926
Pöyry;925
Oksman;923
Perkiö;923
Heikkonen;922
Kaski;921
Koivukangas;921
Back;919
Hellström;918
Kröger;918
Vesanen;918
Klemola;917
Palokangas;916
Puolakka;912
Rouvinen;910
Lievonen;908
Toiviainen;907
Knuuttila;906
Arponen;904
Pyykönen;901
Lund;896
Granqvist;895
Norrgård;894
Pajula;893
Ristola;893
Silander;893
Mantere;891
Sandell;890
Ruokolainen;889
Jurvanen;888
Mäkynen;888
Räikkönen;887
Ahmed;885
Hintsala;885
Miettunen;885
Laasonen;884
Mehtälä;882
Parkkila;882
Myllyniemi;880
Boman;878
Luomala;878
Paldanius;878
Sorjonen;878
Suikkanen;878
Isaksson;876
Ahlqvist;875
Huovila;875
Kotiranta;875
Berglund;874
Isoaho;874
Kankare;874
Hyyryläinen;873
Lahtela;873
Ukkola;873
Halinen;871
Kanniainen;870
Pajari;870
Lahdenperä;867
Smeds;867
Särkkä;862
Haapasalo;861
Vierimaa;859
Herrala;858
Riekkinen;856
Viskari;856
Tuomikoski;855
Kurkinen;854
Sironen;854
Takalo;854
Knuutinen;852
Myyryläinen;852
Lauronen;851
Ohtonen;851
Stenroos;851
Hinkkanen;850
Koskelo;850
Riekki;850
Pakkala;848
Huuhtanen;847
Kujansuu;847
Vihavainen;847
Korkalainen;846
Koikkalainen;845
Lehtomäki;845
Pernu;844
Möttönen;843
Paaso;843
Kallioinen;842
Poikonen;842
Raivio;842
Rinkinen;841
Schroderus;841
Laurikainen;840
Malmi;839
Savola;836
Niemistö;834
Tammela;834
Luokkanen;833
Vaarala;833
Lohi;832
Saaristo;832
Kinnari;830
Oinas;830
Launonen;827
Kojo;826
Vähäkangas;826
Palola;825
Helle;824
Kostiainen;823
Kurtti;823
Pentti;823
Fredriksson;822
Flink;821
Kantonen;821
Vahtera;821
Rask;820
Haatainen;819
Valo;818
Tikkala;817
Viinikka;817
Hyppönen;816
Myller;816
Lepola;815
Hagman;814
Lötjönen;814
Mertanen;814
Tuunanen;814
Ruusunen;812
Brandt;811
Reiman;811
Vento;811
Kankainen;810
Pohjolainen;809
Ristolainen;807
Rutanen;807
Engström;806
Husu;804
Pullinen;804
Jakobsson;803
Pussinen;801
Ahvenainen;798
Myllykangas;798
Aikio;797
Ilola;796
Järvensivu;795
Suojanen;794
Bäck;793
Kallunki;792
Rosenqvist;792
Ruhanen;792
Taavitsainen;792
Grönberg;791
Hakamäki;791
Korkala;791
Bäckström;788
Wiik;788
Hölttä;787
Reinikka;787
Forsell;786
Lampi;786
Lähdesmäki;786
Maunula;786
Rastas;786
Rosendahl;786
Riipinen;785
Uitto;785
Paloniemi;784
Havukainen;783
Pohjalainen;783
Varonen;783
Rantalainen;782
Hakonen;780
Laukka;779
Tapaninen;779
Kunnas;777
Kiljunen;776
Myöhänen;776
Puska;776
Tuisku;775
Keto;774
Pölönen;774
Tanner;774
Hagert;772
Fagerlund;771
Kantanen;768
Sievänen;768
Sorri;768
Muukkonen;766
Muikku;765
Taskila;765
Vesalainen;765
Jormanainen;764
Pekkola;764
Valjakka;764
Rainio;763
Mehtonen;762
Kurikka;761
Torniainen;760
Olin;759
Korkeamäki;758
Nivala;758
Roine;757
Eerikäinen;756
Issakainen;756
Koivuranta;756
Tiittanen;756
Pesola;755
Tammisto;751
Fagerholm;750
Huhtamäki;750
Visuri;750
Äikäs;750
Poikela;749
Österman;747
Julin;746
Ahlfors;745
Piiparinen;745
Grönqvist;744
Käkelä;743
Pekonen;743
Saarikko;743
Vehmas;743
Illikainen;742
Karhula;742
Malmström;742
Nyqvist;742
Viita;741
Lindstedt;740
Kostamo;739
Levänen;737
Sihvola;736
Ylimäki;736
Saarnio;735
Kuula;733
Juopperi;731
Tuohimaa;730
Kiviharju;728
Lipsanen;728
Luhtala;728
Peippo;728
Koivistoinen;727
Särkelä;726
Niittymäki;725
Törrönen;725
Kvist;724
Leminen;723
Kaskinen;722
Kymäläinen;722
Dahlström;721
Valta;721
Finnilä;719
Rämä;718
Sipiläinen;718
Rasi;717
Vilenius;717
Kilponen;716
Tran;715
Forsblom;714
Hautaniemi;713
Korte;713
Nupponen;713
Paju;713
Hyrkäs;712
Pihlajaniemi;712
Teräväinen;712
Engblom;708
Luotonen;708
Raita;708
Takanen;708
Haaranen;707
Puisto;707
Pajala;705
Boström;704
Lumme;704
Marin;704
Valkeapää;703
Kylliäinen;702
Lundell;701
Löppönen;701
Turkki;701
Kuutti;700
Litmanen;700
Multanen;700
Pääkkö;700
Koskimäki;699
Sundman;699
Tammelin;699
Grönfors;697
Mantila;697
Poikolainen;697
Sepponen;697
Korva;695
Sopanen;695
Nylander;694
Jeskanen;693
Långström;693
Vilkman;693
Elonen;692
Laurén;691
Paakkunainen;691
Lajunen;690
Turkia;690
Willman;690
Tainio;688
Vuoristo;688
Harinen;687
Roth;687
Viinamäki;687
Keinonen;686
Jokiniemi;685
Englund;684
Ikola;683
Luttinen;683
Pesu;683
Sihvo;683
Skog;683
Gröndahl;682
Konttila;682
Talja;682
Hassan;681
Taponen;681
Viitaniemi;681
Nygren;680
Smolander;680
Martiskainen;679
Kupari;677
Mannonen;677
Lehtiniemi;676
Hautanen;675
Tirronen;675
Joki;674
Posti;674
Mikkilä;673
Puro;673
Santanen;673
Borg;672
Karonen;672
Tyrväinen;672
Weckman;672
Hagström;671
Asp;670
Koli;670
Metsola;670
Väre;670
Sjölund;669
Paukkunen;667
Roiha;666
Töyrylä;666
Harjunpää;665
Kuha;662
Tonteri;662
Falck;661
Huhtinen;661
Kolu;661
Uski;660
Juola;659
Alén;658
Pylvänäinen;658
Syvänen;656
Uotinen;656
Sandelin;655
Summanen;655
Suutarinen;655
Tuuri;655
Ritola;654
Pelttari;653
Vitikainen;653
Kattelus;652
Mölsä;652
Nurkkala;652
Hoikkala;651
Raitio;651
Jaskari;650
Pärnänen;650
Rummukainen;650
Viitamäki;650
Hartikka;649
Hirvi;648
Muurinen;648
Virtala;648
Javanainen;647
Häyrynen;646
Mynttinen;646
Suihkonen;646
Alastalo;645
Jalo;645
Mansikkamäki;645
Saarimaa;645
Vanninen;645
Vähämäki;645
Kiiveri;644
Koivusalo;644
Kohvakka;643
Silventoinen;642
Suoranta;642
Tommila;642
Leppäniemi;641
Piispa;641
Wikman;641
Vuolle;641
Häkli;640
Tuokko;640
Tiensuu;639
Uusimäki;639
Kanninen;638
Koho;638
Jokitalo;637
Sääskilahti;637
Heinola;636
Hukka;636
Lehtoranta;636
Katila;635
Kuosa;635
Mankinen;634
Mänttäri;634
Rönnberg;634
Broman;633
Lindblad;633
Söderman;633
Hotti;632
Friberg;631
Wiklund;631
Marjanen;630
Simpanen;630
Tuovila;630
Viertola;630
Björn;629
Mustajärvi;629
Nikulainen;629
Roponen;629
Väistö;629
Enberg;628
Pätsi;628
Sassi;627
Pukkila;626
Villanen;626
Kivilahti;624
Heininen;623
Kaivola;623
Natunen;623
Hulkko;622
Häggman;622
Matero;622
Myllys;621
Tilli;621
Torikka;621
Vähätalo;621
Halminen;619
Luukkainen;619
Niemeläinen;619
Virkkala;619
Larsson;618
Mikola;618
Sulonen;618
Mulari;617
Puputti;617
Riihelä;617
Saranpää;617
Tapanainen;617
Blomster;616
Ståhl;616
Vähäkuopus;616
Kilpi;615
Köykkä;615
Välikangas;615
Hannonen;614
Ikäheimo;614
Leikas;614
Perttunen;614
Kähärä;613
Paunonen;613
Pihlajamaa;613
Ingman;612
Nissi;612
Ritvanen;612
Ruottinen;612
Hellgren;611
Hietaniemi;611
Inkeroinen;611
Mutikainen;611
Perämäki;611
Rokka;611
Kleemola;610
Liukko;610
Haapasaari;609
Skyttä;609
Nikkola;608
Kontinen;607
Niininen;607
Torkkeli;607
Oikari;606
Akkanen;605
Leppä;605
Vasara;605
Joronen;604
Keronen;604
Björkqvist;602
Kero;602
Malkki;602
Simula;600
Hännikäinen;599
Onnela;599
Hannuksela;598
Ruoho;598
Rantonen;597
Ilmonen;596
Pirilä;596
Tuomala;596
Sipponen;595
Finne;594
Tuunainen;594
Kakkonen;593
Väliaho;593
Hemminki;592
Kerttula;592
Erola;591
Mansikka;591
Roivas;591
West;591
Kaakinen;590
Hyväri;589
Ilonen;589
Westman;589
Nyrhinen;588
Paakki;588
Sundholm;588
Hyyppä;587
Teppo;587
Heinilä;586
Lundqvist;586
Sonninen;586
Toppinen;586
Vertanen;586
Honka;585
Kontturi;585
Latva;585
Majava;585
Posio;585
Tapola;584
Tiusanen;584
Bollström;583
Paalanen;583
Hemmilä;582
Innanen;582
Kokki;582
Lavikainen;582
Saarijärvi;582
Takkunen;582
Ojaniemi;581
Behm;580
Honkaniemi;580
Kanto;580
Kylmänen;579
Murtomäki;579
Kanervo;578
Stenius;578
Korpelainen;577
Pirskanen;577
Huttu;576
Maaranen;576
Mettälä;576
Kareinen;575
Paukku;575
Ahopelto;574
Isokangas;574
Tallgren;573
Mäntyniemi;572
Sund;572
Päkkilä;571
Kronqvist;570
Leppämäki;569
Pitkälä;569
Sandvik;569
Husso;568
Sirkka;568
Ståhlberg;568
Kahila;567
Lantto;567
Lehtiö;567
Haukka;566
Juusola;566
Kunttu;566
Puumala;566
Rapo;566
Ulmanen;566
Mattinen;565
Ruponen;565
Kautonen;564
Linden;564
Oittinen;563
Petäjä;563
Isoniemi;562
Lindh;562
Törnqvist;561
Hentunen;560
Ilves;560
Karhapää;560
Lehtovaara;560
Mylläri;560
Noponen;560
Suoniemi;560
Leiviskä;559
Lonka;559
Sorvali;559
Lehtilä;557
Paronen;556
Blomerus;555
Hatakka;555
Saksa;555
Tulonen;554
Piitulainen;553
Pudas;553
Sjögren;553
Stolt;553
Hirsimäki;552
Huuhka;551
Karppi;551
Peiponen;551
Liedes;550
Tanttu;550
Åström;550
Sjöström;549
Viitasaari;549
Hiltula;547
Lamminmäki;547
Lukkarila;547
Metsäranta;547
Sintonen;547
Alm;546
Impola;546
Kukko;546
Alanne;545
Hanski;545
Lemmetty;545
Ahtola;544
Hentilä;544
Puikkonen;544
Hanhela;543
Kiviaho;543
Selenius;543
Vallius;543
Kaleva;542
Mäkiranta;542
Saarni;542
Vilen;542
Halmetoja;541
Hyytinen;541
Rimpiläinen;541
Siivola;541
Hellberg;540
Palmroth;540
Strandberg;540
Mörsky;539
Pahkala;539
Rehn;539
Juselius;538
Karsikas;538
Hyry;537
Laari;537
Lauri;537
Välitalo;537
Hoffren;536
Mourujärvi;535
Sten;535
Alenius;534
Hautakangas;534
Patrikainen;534
Törmälä;534
Kivijärvi;533
Vierikko;533
Lamminpää;532
Sinkko;532
Alander;531
Romo;531
Kytömäki;530
Louhelainen;530
Paakkari;530
Pöysti;530
Tornberg;530
Jokiranta;529
Kaila;529
Karhumaa;529
Lönnberg;529
Naskali;529
Nuotio;529
Pekkinen;529
